Oiseau;Nom latin;Type
Accenteur mouchet;Prunella modularis;forêt
Aigrette garzette;Egretta garzetta;eau
Alouette des champs;Alauda arvensis;plaine
Alouette lulu;Lullula arborea;forêt
Avocette élégante;Recurvirostra avosetta;eau
Barge rousse;Limosa lapponica;eau
Barge à queue noire;Limosa limosa;eau
Bergeronnette grise;Motacilla alba;commun
Bergeronnette printanière;Motacilla flava;plaine
Blongios nain;Ixobrychus minutus;eau
Bouscarle de Cetti;Cettia cetti;commun
Bruant des roseaux;Emberiza schoeniclus;eau
Bruant jaune;Emberiza citrinella;plaine
Bruant ortolan;Emberiza hortulana;plaine
Bruant proyer;Emberiza calandra;plaine
Bruant zizi;Emberiza cirlus;plaine
Butor étoilé;Botaurus stellaris;eau
Bécassine des bois;Gallinago nemoricola;forêt
Bécassine des marais;Gallinago gallinago;eau
Canard chipeau;Mareca strepera;eau
Canard colvert;Anas platyrhynchos;eau
Canard pilet;Anas acuta;eau
Canard siffleur;Mareca penelope;eau
Chardonneret élégant;Carduelis carduelis;commun
Chevalier arlequin;Tringa erythropus;eau
Chevalier cul-blanc;Tringa ochropus;eau
Chevalier gambette;Tringa totanus;eau
Chevalier guignette;Actitis hypoleucos;eau
Chevalier sylvain;Tringa glareola;eau
Choucas des tours;Coloeus monedula;commun
Cisticole des joncs;Cisticola juncidis;plaine
Corneille noire;Corvus corone;commun
Coucou gris;Cuculus canorus;commun
Eider à duvet;Somateria mollissima;eau
Etourneau sansonnet;Sturnus vulgaris;commun
Faisan de Colchide;Phasianus colchicus;commun
Faucon crécerelle;Falco tinnunculus;commun
Fauvette à tête noire;Sylvia atricapilla;commun
Fauvette des jardins;Sylvia borin;commun
Foulque macroule;Fulica atra;eau
Fuligule milouin;Aythya ferina;eau
Gallinule poule-d'eau;Gallinula chloropus;eau
Geai des chênes;Garrulus glandarius;forêt
Gobemouche gris;Muscicapa striata;forêt
Grand Cormoran;Phalacrocorax carbo;eau
Grande aigrette;Ardea alba;eau
Grimpereau des jardins;Certhia brachydactyla;forêt
Grive musicienne;Turdus philomelos;forêt
Grèbe castagneux;Tachybaptus ruficollis;eau
Grèbe esclavon;Podiceps auritus;eau
Grèbe huppé;Podiceps cristatus;eau
Grèbe jougris;Podiceps grisegena;eau
Grèbe à cou noir;Podiceps nigricollis;eau
Grosbec casse-noyaux;Coccothraustes coccothraustes;forêt
Héron cendré;Ardea cinerea;eau
Huppe fasciée;Upupa epops;commun
Hypolaïs polyglotte;Hippolais polyglotta;commun
Linotte mélodieuse;Carduelis cannabina;plaine
Locustelle luscinioïde;Locustella luscinioides;eau
Locustelle tachetée;Locustella naevia;eau
Loriot d'Europe;Oriolus oriolus;forêt
Martin-pêcheur d'Europe;Alcedo atthis;commun
Merle noir;Turdus merula;commun
Moineau domestique;Passer domesticus;commun
Mouette rieuse;Chroicocephalus ridibundus;commun
Mésange bleue;Cyanistes caeruleus;forêt
Mésange charbonnière;Parus major;forêt
Mésange huppée;Lophophanes cristatus;forêt
Mésange noire;Periparus ater;forêt
Oedicnème criard;Burhinus oedicnemus;plaine
Oie cendrée;Anser anser;eau
Oie rieuse;Anser albifrons;eau
Orite à longue queue;Aegithalos caudatus;forêt
Outarde canepetière;Tetrax tetrax;plaine
Panure à moustaches;Panurus biarmicus;eau
Phragmite des joncs;Acrocephalus schoenobaenus;eau
Pic épeiche;Dendrocopos major;forêt
Pic épeichette;Dryobates minor;forêt
Pic mar;Dendrocoptes medius;forêt
Pic vert;Picus viridis;forêt
Pie bavarde;Pica pica;commun
Pigeon ramier;Columba palumbus;forêt
Pinson des arbres;Fringilla coelebs;forêt
Pipit des arbres;Anthus trivialis;forêt
Pipit rousseline;Anthus campestris;plaine
Pouillot fitis;Phylloscopus trochilus;forêt
Pouillot véloce;Phylloscopus collybita;forêt
Roitelet huppé;Regulus regulus;forêt
Roitelet triple-bandeau;Regulus ignicapilla;forêt
Rossignol philomèle;Luscinia megarhynchos;forêt
Rougegorge familier;Erithacus rubecula;forêt
Rougequeue noir;Phoenicurus ochruros;commun
Rougequeue à front blanc;Phoenicurus phoenicurus;forêt
Rousserolle effarvatte;Acrocephalus scirpaceus;eau
Rousserolle turdoïde;Acrocephalus arundinaceus;eau
Rousserolle verderolle;Acrocephalus palustris;eau
Sarcelle d'hiver;Anas crecca;eau
Sarcelle d'été;Spatula querquedula;eau
Serin cini;Serinus serinus;commun
Sittelle torchepot;Sitta europaea;forêt
Sizerin flammé;Acanthis flammea;forêt
Spatule blanche;Platalea leucorodia;eau
Tadorne de Belon;Tadorna tadorna;eau
Tarier des prés;Saxicola rubetra;plaine
Tarier pâtre;Saxicola rubicola;plaine
Tarin des aulnes;Carduelis spinus;forêt
Tourterelle des bois;Streptopelia turtur;forêt
Tourterelle turque;Streptopelia decaocto;commun
Troglodyte mignon;Troglodytes troglodytes;forêt
Vanneau huppé;Vanellus vanellus;eau
Verdier d'Europe;Chloris chloris;commun
